otech2af@client3:~/cctf-g3/attack$ cat reqs.log
[78@07:17:00] T: 130.358816	R: 000
[79@07:17:08] T: 128.380047	R: 000
[80@07:17:18] T: 130.368088	R: 000
[81@07:17:27] T: 129.356196	R: 000
[82@07:17:36] T: 130.371690	R: 000
[83@07:17:45] T: 129.364335	R: 000
[84@07:17:54] T: 129.373353	R: 000
[85@07:18:03] T: 130.340944	R: 000
[86@07:18:12] T: 129.326966	R: 000
[87@07:18:21] T: 130.328160	R: 000
[88@07:18:30] T: 129.362156	R: 000
[89@07:18:38] T: 130.341473	R: 000
[90@07:18:47] T: 130.354087	R: 000
[91@07:18:55] T: 129.345017	R: 000
[92@07:19:04] T: 130.376271	R: 000
[93@07:19:12] T: 130.359988	R: 000
[94@07:19:20] T: 129.357000	R: 000
[95@07:19:28] T: 130.347885	R: 000
[96@07:19:36] T: 130.341295	R: 000
[97@07:19:44] T: 130.354675	R: 000
[98@07:19:53] T: 130.337735	R: 000
[99@07:20:02] T: 129.342419	R: 000
[100@07:20:10] T: 130.352759	R: 000
[101@07:20:19] T: 129.342398	R: 000
[102@07:20:28] T: 130.347872	R: 000
[103@07:20:38] T: 130.352037	R: 000
[104@07:20:45] T: 129.362683	R: 000
[105@07:20:53] T: 130.332569	R: 000
[106@07:21:02] T: 130.370419	R: 000
[107@07:21:11] T: 130.340188	R: 000
[108@07:21:20] T: 129.337728	R: 000
[109@07:21:28] T: 130.326085	R: 000
[110@07:21:37] T: 128.358548	R: 000
[111@07:21:46] T: 129.375874	R: 000
[112@07:21:56] T: 129.344834	R: 000
[113@07:22:04] T: 130.350309	R: 000
[114@07:22:12] T: 129.340137	R: 000
[115@07:22:21] T: 130.339841	R: 000
[116@07:22:31] T: 130.338318	R: 000
[117@07:22:38] T: 129.350771	R: 000
[118@07:22:47] T: 129.338205	R: 000
[119@07:22:56] T: 129.332112	R: 000
[120@07:23:04] T: 129.344690	R: 000
[121@07:23:12] T: 129.349752	R: 000
